"birth_year","group","DHB","category","sub_category","number","denominator","percent","population","rate"
2008,"DHB","Auckland","year","total",6684,6684,100,110350,60.6
2008,"DHB","Bay of Plenty","year","total",2974,2974,100,38430,77.4
2008,"DHB","Canterbury","year","total",6651,6651,100,104350,63.7
2008,"DHB","Capital & Coast","year","total",4078,4078,100,69020,59.1
2008,"DHB","Counties Manukau","year","total",8831,8831,100,104450,84.5
2008,"DHB","Hawke's Bay","year","total",2360,2360,100,29390,80.3
2008,"DHB","Hutt Valley","year","total",2252,2252,100,29930,75.2
2008,"DHB","Lakes","year","total",1745,1745,100,20440,85.4
2008,"DHB","MidCentral","year","total",2363,2363,100,33840,69.8
2008,"DHB","Nelson Marlborough","year","total",1738,1738,100,24850,69.9
2008,"DHB","Northland","year","total",2284,2284,100,28130,81.2
2008,"DHB","South Canterbury","year","total",669,669,100,9530,70.2
2008,"DHB","Southern","year","total",3715,3715,100,63170,58.8
2008,"DHB","Tairawhiti","year","total",845,845,100,9090,93
2008,"DHB","Taranaki","year","total",1633,1633,100,20860,78.3
2008,"DHB","Unknown","year","total",484,484,NA,NA,NA
2008,"DHB","Waikato","year","total",5678,5678,100,74040,76.7
2008,"DHB","Wairarapa","year","total",512,512,100,6990,73.2
2008,"DHB","Waitemata","year","total",7790,7790,100,113920,68.4
2008,"DHB","West Coast","year","total",434,434,100,6050,71.7
2008,"DHB","Whanganui","year","total",915,915,100,11630,78.7
2009,"DHB","Auckland","year","total",6849,6849,100,110590,61.9
2009,"DHB","Bay of Plenty","year","total",2996,2996,100,38530,77.8
2009,"DHB","Canterbury","year","total",6558,6558,100,104290,62.9
2009,"DHB","Capital & Coast","year","total",4056,4056,100,69020,58.8
2009,"DHB","Counties Manukau","year","total",8612,8612,100,104900,82.1
2009,"DHB","Hawke's Bay","year","total",2441,2441,100,29120,83.8
2009,"DHB","Hutt Valley","year","total",2235,2235,100,29760,75.1
2009,"DHB","Lakes","year","total",1683,1683,100,20210,83.3
2009,"DHB","MidCentral","year","total",2211,2211,100,33650,65.7
2009,"DHB","Nelson Marlborough","year","total",1696,1696,100,24690,68.7
2009,"DHB","Northland","year","total",2312,2312,100,28160,82.1
2009,"DHB","South Canterbury","year","total",661,661,100,9460,69.9
2009,"DHB","Southern","year","total",3757,3757,100,62820,59.8
2009,"DHB","Tairawhiti","year","total",764,764,100,9070,84.2
2009,"DHB","Taranaki","year","total",1631,1631,100,20880,78.1
2009,"DHB","Unknown","year","total",475,475,NA,NA,NA
2009,"DHB","Waikato","year","total",5558,5558,100,74090,75
2009,"DHB","Wairarapa","year","total",544,544,100,7010,77.6
2009,"DHB","Waitemata","year","total",7843,7843,100,114310,68.6
2009,"DHB","West Coast","year","total",429,429,100,6010,71.4
2009,"DHB","Whanganui","year","total",930,930,100,11470,81.1
2010,"DHB","Auckland","year","total",6778,6778,100,111110,61
2010,"DHB","Bay of Plenty","year","total",3024,3024,100,38690,78.2
2010,"DHB","Canterbury","year","total",6691,6691,100,104420,64.1
2010,"DHB","Capital & Coast","year","total",3988,3988,100,69070,57.7
2010,"DHB","Counties Manukau","year","total",8805,8805,100,105600,83.4
2010,"DHB","Hawke's Bay","year","total",2342,2342,100,29040,80.6
2010,"DHB","Hutt Valley","year","total",2158,2158,100,29740,72.6
2010,"DHB","Lakes","year","total",1615,1615,100,20110,80.3
2010,"DHB","MidCentral","year","total",2352,2352,100,33630,69.9
