"birth_year","group","DHB","category","sub_category","number","denominator","percent","population","rate"
2010,"DHB","Nelson Marlborough","year","total",1706,1706,100,24550,69.5
2010,"DHB","Northland","year","total",2479,2479,100,28160,88
2010,"DHB","South Canterbury","year","total",670,670,100,9500,70.5
2010,"DHB","Southern","year","total",3689,3689,100,62800,58.7
2010,"DHB","Tairawhiti","year","total",765,765,100,9090,84.2
2010,"DHB","Taranaki","year","total",1592,1592,100,20990,75.8
2010,"DHB","Unknown","year","total",386,386,NA,NA,NA
2010,"DHB","Waikato","year","total",5638,5638,100,74540,75.6
2010,"DHB","Wairarapa","year","total",542,542,100,7040,77
2010,"DHB","Waitemata","year","total",7944,7944,100,115080,69
2010,"DHB","West Coast","year","total",409,409,100,5990,68.3
2010,"DHB","Whanganui","year","total",896,896,100,11280,79.4
2011,"DHB","Auckland","year","total",6574,6574,100,111470,59
2011,"DHB","Bay of Plenty","year","total",2866,2866,100,38470,74.5
2011,"DHB","Canterbury","year","total",6077,6077,100,101320,60
2011,"DHB","Capital & Coast","year","total",3881,3881,100,68980,56.3
2011,"DHB","Counties Manukau","year","total",8769,8769,100,106360,82.4
2011,"DHB","Hawke's Bay","year","total",2258,2258,100,28910,78.1
2011,"DHB","Hutt Valley","year","total",2061,2061,100,29660,69.5
2011,"DHB","Lakes","year","total",1592,1592,100,20000,79.6
2011,"DHB","MidCentral","year","total",2300,2300,100,33520,68.6
2011,"DHB","Nelson Marlborough","year","total",1650,1650,100,24470,67.4
2011,"DHB","Northland","year","total",2308,2308,100,28120,82.1
2011,"DHB","South Canterbury","year","total",573,573,100,9520,60.2
2011,"DHB","Southern","year","total",3679,3679,100,62830,58.6
2011,"DHB","Tairawhiti","year","total",740,740,100,9050,81.8
2011,"DHB","Taranaki","year","total",1567,1567,100,21040,74.5
2011,"DHB","Unknown","year","total",352,352,NA,NA,NA
2011,"DHB","Waikato","year","total",5388,5388,100,74790,72
2011,"DHB","Wairarapa","year","total",530,530,100,7050,75.2
2011,"DHB","Waitemata","year","total",7898,7898,100,115700,68.3
2011,"DHB","West Coast","year","total",410,410,100,5980,68.6
2011,"DHB","Whanganui","year","total",833,833,100,11110,75
2012,"DHB","Auckland","year","total",6721,6721,100,111670,60.2
2012,"DHB","Bay of Plenty","year","total",2980,2980,100,38130,78.2
2012,"DHB","Canterbury","year","total",6004,6004,100,99290,60.5
2012,"DHB","Capital & Coast","year","total",3881,3881,100,68640,56.5
2012,"DHB","Counties Manukau","year","total",8799,8799,100,106880,82.3
2012,"DHB","Hawke's Bay","year","total",2258,2258,100,28600,79
2012,"DHB","Hutt Valley","year","total",2016,2016,100,29260,68.9
2012,"DHB","Lakes","year","total",1559,1559,100,19780,78.8
2012,"DHB","MidCentral","year","total",2158,2158,100,33390,64.6
2012,"DHB","Nelson Marlborough","year","total",1531,1531,100,24160,63.4
2012,"DHB","Northland","year","total",2300,2300,100,27820,82.7
2012,"DHB","South Canterbury","year","total",648,648,100,9480,68.4
2012,"DHB","Southern","year","total",3598,3598,100,62430,57.6
2012,"DHB","Tairawhiti","year","total",735,735,100,9000,81.7
2012,"DHB","Taranaki","year","total",1562,1562,100,20930,74.6
2012,"DHB","Unknown","year","total",322,322,NA,NA,NA
2012,"DHB","Waikato","year","total",5495,5495,100,74750,73.5
2012,"DHB","Wairarapa","year","total",510,510,100,7060,72.2
2012,"DHB","Waitemata","year","total",8000,8000,100,116060,68.9
2012,"DHB","West Coast","year","total",410,410,100,5870,69.8
2012,"DHB","Whanganui","year","total",876,876,100,10840,80.8
2013,"DHB","Auckland","year","total",6257,6257,100,112310,55.7
2013,"DHB","Bay of Plenty","year","total",2758,2758,100,37920,72.7
2013,"DHB","Canterbury","year","total",5830,5830,100,99310,58.7
2013,"DHB","Capital & Coast","year","total",3634,3634,100,68330,53.2
2013,"DHB","Counties Manukau","year","total",8186,8186,100,107190,76.4
2013,"DHB","Hawke's Bay","year","total",2154,2154,100,28290,76.1
2013,"DHB","Hutt Valley","year","total",1918,1918,100,28980,66.2
2013,"DHB","Lakes","year","total",1422,1422,100,19580,72.6
2013,"DHB","MidCentral","year","total",2123,2123,100,33180,64
2013,"DHB","Nelson Marlborough","year","total",1552,1552,100,24010,64.6
2013,"DHB","Northland","year","total",2130,2130,100,27580,77.2
2013,"DHB","South Canterbury","year","total",641,641,100,9440,67.9
2013,"DHB","Southern","year","total",3449,3449,100,62300,55.4
2013,"DHB","Tairawhiti","year","total",707,707,100,8930,79.2
2013,"DHB","Taranaki","year","total",1523,1523,100,20890,72.9
2013,"DHB","Unknown","year","total",369,369,NA,NA,NA
2013,"DHB","Waikato","year","total",5221,5221,100,74750,69.8
2013,"DHB","Wairarapa","year","total",501,501,100,7040,71.2
2013,"DHB","Waitemata","year","total",7673,7673,100,116580,65.8
2013,"DHB","West Coast","year","total",377,377,100,5730,65.8
2013,"DHB","Whanganui","year","total",827,827,100,10700,77.3
2014,"DHB","Auckland","year","total",6307,6307,100,112770,55.9
2014,"DHB","Bay of Plenty","year","total",2791,2791,100,38720,72.1
2014,"DHB","Canterbury","year","total",6001,6001,100,100390,59.8
2014,"DHB","Capital & Coast","year","total",3530,3530,100,68950,51.2
2014,"DHB","Counties Manukau","year","total",8291,8291,100,109060,76
2014,"DHB","Hawke's Bay","year","total",2067,2067,100,28610,72.2
2014,"DHB","Hutt Valley","year","total",1857,1857,100,29240,63.5
2014,"DHB","Lakes","year","total",1394,1394,100,19800,70.4
2014,"DHB","MidCentral","year","total",2095,2095,100,33270,63
2014,"DHB","Nelson Marlborough","year","total",1422,1422,100,24170,58.8
2014,"DHB","Northland","year","total",2101,2101,100,27900,75.3
2014,"DHB","South Canterbury","year","total",652,652,100,9530,68.4
2014,"DHB","Southern","year","total",3284,3284,100,62900,52.2
2014,"DHB","Tairawhiti","year","total",687,687,100,8900,77.2
2014,"DHB","Taranaki","year","total",1518,1518,100,21000,72.3
2014,"DHB","Unknown","year","total",439,439,NA,NA,NA
2014,"DHB","Waikato","year","total",5255,5255,100,75620,69.5
2014,"DHB","Wairarapa","year","total",473,473,100,7060,67
2014,"DHB","Waitemata","year","total",7857,7857,100,118120,66.5
2014,"DHB","West Coast","year","total",351,351,100,5580,62.9
2014,"DHB","Whanganui","year","total",817,817,100,10690,76.4
2015,"DHB","Auckland","year","total",5899,5899,100,113900,51.8
2015,"DHB","Bay of Plenty","year","total",2792,2792,100,39580,70.5
2015,"DHB","Canterbury","year","total",6207,6207,100,103200,60.1
2015,"DHB","Capital & Coast","year","total",3532,3532,100,69940,50.5
2015,"DHB","Counties Manukau","year","total",8202,8202,100,112010,73.2
2015,"DHB","Hawke's Bay","year","total",1991,1991,100,29050,68.5
2015,"DHB","Hutt Valley","year","total",1968,1968,100,29590,66.5
2015,"DHB","Lakes","year","total",1509,1509,100,20100,75.1
2015,"DHB","MidCentral","year","total",2109,2109,100,33540,62.9
2015,"DHB","Nelson Marlborough","year","total",1418,1418,100,24380,58.2
2015,"DHB","Northland","year","total",2136,2136,100,28330,75.4
2015,"DHB","South Canterbury","year","total",660,660,100,9610,68.7
2015,"DHB","Southern","year","total",3415,3415,100,63950,53.4
2015,"DHB","Tairawhiti","year","total",735,735,100,8920,82.4
2015,"DHB","Taranaki","year","total",1516,1516,100,21130,71.7
2015,"DHB","Unknown","year","total",380,380,NA,NA,NA
2015,"DHB","Waikato","year","total",5275,5275,100,76980,68.5
2015,"DHB","Wairarapa","year","total",462,462,100,7150,64.6
2015,"DHB","Waitemata","year","total",7564,7564,100,120630,62.7
2015,"DHB","West Coast","year","total",358,358,100,5480,65.3
2015,"DHB","Whanganui","year","total",816,816,100,10790,75.6
2016,"DHB","Auckland","year","total",5914,5914,100,115900,51
2016,"DHB","Bay of Plenty","year","total",2899,2899,100,40740,71.2
2016,"DHB","Canterbury","year","total",6312,6312,100,106580,59.2
2016,"DHB","Capital & Coast","year","total",3459,3459,100,70870,48.8
2016,"DHB","Counties Manukau","year","total",8248,8248,100,115530,71.4
2016,"DHB","Hawke's Bay","year","total",2057,2057,100,29420,69.9
2016,"DHB","Hutt Valley","year","total",1968,1968,100,30160,65.3
2016,"DHB","Lakes","year","total",1545,1545,100,20540,75.2
2016,"DHB","MidCentral","year","total",2077,2077,100,33930,61.2
2016,"DHB","Nelson Marlborough","year","total",1548,1548,100,24730,62.6
2016,"DHB","Northland","year","total",2264,2264,100,28750,78.7
2016,"DHB","South Canterbury","year","total",651,651,100,9700,67.1
2016,"DHB","Southern","year","total",3315,3315,100,65470,50.6
2016,"DHB","Tairawhiti","year","total",773,773,100,8970,86.2
2016,"DHB","Taranaki","year","total",1435,1435,100,21330,67.3
2016,"DHB","Unknown","year","total",450,450,NA,NA,NA
2016,"DHB","Waikato","year","total",5359,5359,100,78360,68.4
2016,"DHB","Wairarapa","year","total",460,460,100,7250,63.4
2016,"DHB","Waitemata","year","total",7936,7936,100,123600,64.2
2016,"DHB","West Coast","year","total",318,318,100,5420,58.7
2016,"DHB","Whanganui","year","total",800,800,100,10890,73.5
2017,"DHB","Auckland","year","total",5632,5632,100,117570,47.9
2017,"DHB","Bay of Plenty","year","total",3102,3102,100,42120,73.6
2017,"DHB","Canterbury","year","total",6397,6397,100,109050,58.7
2017,"DHB","Capital & Coast","year","total",3496,3496,100,71760,48.7
2017,"DHB","Counties Manukau","year","total",8284,8284,100,118740,69.8
2017,"DHB","Hawke's Bay","year","total",2134,2134,100,29710,71.8
2017,"DHB","Hutt Valley","year","total",1946,1946,100,30680,63.4
2017,"DHB","Lakes","year","total",1556,1556,100,20900,74.4
2017,"DHB","MidCentral","year","total",2132,2132,100,34180,62.4
2017,"DHB","Nelson Marlborough","year","total",1426,1426,100,24880,57.3
2017,"DHB","Northland","year","total",2238,2238,100,29200,76.6
2017,"DHB","South Canterbury","year","total",633,633,100,9800,64.6
2017,"DHB","Southern","year","total",3438,3438,100,66930,51.4
2017,"DHB","Tairawhiti","year","total",704,704,100,8930,78.8
2017,"DHB","Taranaki","year","total",1402,1402,100,21420,65.5
2017,"DHB","Unknown","year","total",405,405,NA,NA,NA
2017,"DHB","Waikato","year","total",5322,5322,100,79970,66.5
2017,"DHB","Wairarapa","year","total",536,536,100,7310,73.3
2017,"DHB","Waitemata","year","total",7722,7722,100,126480,61.1
2017,"DHB","West Coast","year","total",355,355,100,5320,66.7
2017,"DHB","Whanganui","year","total",843,843,100,11000,76.6
2018,"DHB","Auckland","year","total",5432,5432,100,119300,45.5
2018,"DHB","Bay of Plenty","year","total",3008,3008,100,43320,69.4
2018,"DHB","Canterbury","year","total",6249,6249,100,110890,56.4
2018,"DHB","Capital & Coast","year","total",3198,3198,100,72790,43.9
2018,"DHB","Counties Manukau","year","total",8171,8171,100,121180,67.4
2018,"DHB","Hawke's Bay","year","total",2110,2110,100,30070,70.2
2018,"DHB","Hutt Valley","year","total",1943,1943,100,30910,62.9
2018,"DHB","Lakes","year","total",1527,1527,100,21200,72
2018,"DHB","MidCentral","year","total",2158,2158,100,34350,62.8
2018,"DHB","Nelson Marlborough","year","total",1496,1496,100,25130,59.5
2018,"DHB","Northland","year","total",2195,2195,100,29670,74
2018,"DHB","South Canterbury","year","total",603,603,100,9830,61.3
2018,"DHB","Southern","year","total",3270,3270,100,68490,47.7
2018,"DHB","Tairawhiti","year","total",699,699,100,8920,78.4
2018,"DHB","Taranaki","year","total",1565,1565,100,21390,73.2
2018,"DHB","Unknown","year","total",504,504,NA,NA,NA
2018,"DHB","Waikato","year","total",5383,5383,100,81240,66.3
2018,"DHB","Wairarapa","year","total",496,496,100,7480,66.3
2018,"DHB","Waitemata","year","total",7425,7425,100,129060,57.5
2018,"DHB","West Coast","year","total",328,328,100,5150,63.7
2018,"DHB","Whanganui","year","total",806,806,100,11030,73.1
2019,"DHB","Auckland","year","total",5587,5587,100,120230,46.5
2019,"DHB","Bay of Plenty","year","total",3105,3105,100,44360,70
2019,"DHB","Canterbury","year","total",6441,6441,100,112600,57.2
2019,"DHB","Capital & Coast","year","total",3182,3182,100,74260,42.8
2019,"DHB","Counties Manukau","year","total",8418,8418,100,123500,68.2
2019,"DHB","Hawke's Bay","year","total",2020,2020,100,30380,66.5
2019,"DHB","Hutt Valley","year","total",1960,1960,100,31250,62.7
2019,"DHB","Lakes","year","total",1536,1536,100,21470,71.5
2019,"DHB","MidCentral","year","total",2164,2164,100,34790,62.2
2019,"DHB","Nelson Marlborough","year","total",1450,1450,100,25400,57.1
2019,"DHB","Northland","year","total",2311,2311,100,30110,76.8
2019,"DHB","South Canterbury","year","total",621,621,100,9870,62.9
2019,"DHB","Southern","year","total",3442,3442,100,69680,49.4
2019,"DHB","Tairawhiti","year","total",683,683,100,8950,76.3
2019,"DHB","Taranaki","year","total",1508,1508,100,21400,70.5
2019,"DHB","Unknown","year","total",445,445,NA,NA,NA
2019,"DHB","Waikato","year","total",5445,5445,100,82640,65.9
2019,"DHB","Wairarapa","year","total",518,518,100,7490,69.2
2019,"DHB","Waitemata","year","total",7778,7778,100,130210,59.7
2019,"DHB","West Coast","year","total",346,346,100,5060,68.4
2019,"DHB","Whanganui","year","total",863,863,100,11170,77.3
2020,"DHB","Auckland","year","total",5155,5155,100,121410,42.5
2020,"DHB","Bay of Plenty","year","total",3131,3131,100,46350,67.6
2020,"DHB","Canterbury","year","total",6171,6171,100,115310,53.5
2020,"DHB","Capital & Coast","year","total",3093,3093,100,75930,40.7
2020,"DHB","Counties Manukau","year","total",8406,8406,100,127220,66.1
2020,"DHB","Hawke's Bay","year","total",2069,2069,100,31040,66.7
2020,"DHB","Hutt Valley","year","total",2011,2011,100,31910,63
2020,"DHB","Lakes","year","total",1430,1430,100,21940,65.2
2020,"DHB","MidCentral","year","total",2159,2159,100,35510,60.8
2020,"DHB","Nelson Marlborough","year","total",1416,1416,100,26330,53.8
2020,"DHB","Northland","year","total",2379,2379,100,31060,76.6
2020,"DHB","South Canterbury","year","total",589,589,100,10000,58.9
2020,"DHB","Southern","year","total",3275,3275,100,71250,46
2020,"DHB","Tairawhiti","year","total",708,708,100,9200,77
2020,"DHB","Taranaki","year","total",1452,1452,100,21780,66.7
2020,"DHB","Unknown","year","total",570,570,NA,NA,NA
2020,"DHB","Waikato","year","total",5566,5566,100,85330,65.2
2020,"DHB","Wairarapa","year","total",526,526,100,7740,68
2020,"DHB","Waitemata","year","total",7478,7478,100,131990,56.7
2020,"DHB","West Coast","year","total",289,289,100,5080,56.9
2020,"DHB","Whanganui","year","total",820,820,100,11480,71.4
2021,"DHB","Auckland","year","total",5439,5439,100,116690,46.6
2021,"DHB","Bay of Plenty","year","total",3382,3382,100,47030,71.9
2021,"DHB","Canterbury","year","total",6794,6794,100,115980,58.6
2021,"DHB","Capital & Coast","year","total",3320,3320,100,76440,43.4
2021,"DHB","Counties Manukau","year","total",8788,8788,100,127720,68.8
2021,"DHB","Hawke's Bay","year","total",2261,2261,100,31190,72.5
2021,"DHB","Hutt Valley","year","total",2050,2050,100,32130,63.8
2021,"DHB","Lakes","year","total",1626,1626,100,21740,74.8
2021,"DHB","MidCentral","year","total",2310,2310,100,35880,64.4
2021,"DHB","Nelson Marlborough","year","total",1510,1510,100,26200,57.6
2021,"DHB","Northland","year","total",2425,2425,100,31540,76.9
2021,"DHB","South Canterbury","year","total",636,636,100,9860,64.5
2021,"DHB","Southern","year","total",3529,3529,100,71000,49.7
2021,"DHB","Tairawhiti","year","total",753,753,100,9240,81.5
2021,"DHB","Taranaki","year","total",1580,1580,100,21940,72
2021,"DHB","Unknown","year","total",484,484,NA,NA,NA
2021,"DHB","Waikato","year","total",5957,5957,100,85700,69.5
2021,"DHB","Wairarapa","year","total",571,571,100,7830,72.9
2021,"DHB","Waitemata","year","total",7871,7871,100,130670,60.2
2021,"DHB","West Coast","year","total",336,336,100,5000,67.2
2021,"DHB","Whanganui","year","total",819,819,100,11600,70.6
2022,"DHB","Auckland","year","total",4953,4953,100,111530,44.4
2022,"DHB","Bay of Plenty","year","total",3147,3147,100,47290,66.5
2022,"DHB","Canterbury","year","total",6453,6453,100,116720,55.3
2022,"DHB","Capital & Coast","year","total",2892,2892,100,76090,38
2022,"DHB","Counties Manukau","year","total",8052,8052,100,128540,62.6
2022,"DHB","Hawke's Bay","year","total",2046,2046,100,31180,65.6
2022,"DHB","Hutt Valley","year","total",1844,1844,100,32200,57.3
2022,"DHB","Lakes","year","total",1560,1560,100,21540,72.4
2022,"DHB","MidCentral","year","total",2157,2157,100,35960,60
2022,"DHB","Nelson Marlborough","year","total",1387,1387,100,25900,53.6
2022,"DHB","Northland","year","total",2366,2366,100,31860,74.3
2022,"DHB","South Canterbury","year","total",578,578,100,9840,58.7
2022,"DHB","Southern","year","total",3319,3319,100,71060,46.7
2022,"DHB","Tairawhiti","year","total",715,715,100,9240,77.4
2022,"DHB","Taranaki","year","total",1397,1397,100,21990,63.5
2022,"DHB","Unknown","year","total",694,694,NA,NA,NA
2022,"DHB","Waikato","year","total",5411,5411,100,85840,63
2022,"DHB","Wairarapa","year","total",525,525,100,7900,66.5
2022,"DHB","Waitemata","year","total",7353,7353,100,129150,56.9
2022,"DHB","West Coast","year","total",294,294,100,4950,59.4
2022,"DHB","Whanganui","year","total",814,814,100,11640,69.9
2008,"DHB","Auckland","agegrp1","total",6684,6684,100,110350,60.6
2008,"DHB","Bay of Plenty","agegrp1","total",2974,2974,100,38430,77.4
2008,"DHB","Canterbury","agegrp1","total",6651,6651,100,104350,63.7
2008,"DHB","Capital & Coast","agegrp1","total",4078,4078,100,69020,59.1
2008,"DHB","Counties Manukau","agegrp1","total",8831,8831,100,104450,84.5
2008,"DHB","Hawke's Bay","agegrp1","total",2360,2360,100,29390,80.3
2008,"DHB","Hutt Valley","agegrp1","total",2252,2252,100,29930,75.2
2008,"DHB","Lakes","agegrp1","total",1745,1745,100,20440,85.4
2008,"DHB","MidCentral","agegrp1","total",2363,2363,100,33840,69.8
2008,"DHB","Nelson Marlborough","agegrp1","total",1738,1738,100,24850,69.9
2008,"DHB","Northland","agegrp1","total",2284,2284,100,28130,81.2
2008,"DHB","South Canterbury","agegrp1","total",669,669,100,9530,70.2
2008,"DHB","Southern","agegrp1","total",3715,3715,100,63170,58.8
2008,"DHB","Tairawhiti","agegrp1","total",845,845,100,9090,93
2008,"DHB","Taranaki","agegrp1","total",1633,1633,100,20860,78.3
2008,"DHB","Unknown","agegrp1","total",484,484,NA,NA,NA
2008,"DHB","Waikato","agegrp1","total",5678,5678,100,74040,76.7
2008,"DHB","Wairarapa","agegrp1","total",512,512,100,6990,73.2
2008,"DHB","Waitemata","agegrp1","total",7790,7790,100,113920,68.4
2008,"DHB","West Coast","agegrp1","total",434,434,100,6050,71.7
2008,"DHB","Whanganui","agegrp1","total",915,915,100,11630,78.7
2009,"DHB","Auckland","agegrp1","total",6849,6849,100,110590,61.9
2009,"DHB","Bay of Plenty","agegrp1","total",2996,2996,100,38530,77.8
2009,"DHB","Canterbury","agegrp1","total",6558,6558,100,104290,62.9
2009,"DHB","Capital & Coast","agegrp1","total",4056,4056,100,69020,58.8
2009,"DHB","Counties Manukau","agegrp1","total",8612,8612,100,104900,82.1
2009,"DHB","Hawke's Bay","agegrp1","total",2441,2441,100,29120,83.8
2009,"DHB","Hutt Valley","agegrp1","total",2235,2235,100,29760,75.1
2009,"DHB","Lakes","agegrp1","total",1683,1683,100,20210,83.3
2009,"DHB","MidCentral","agegrp1","total",2211,2211,100,33650,65.7
2009,"DHB","Nelson Marlborough","agegrp1","total",1696,1696,100,24690,68.7
2009,"DHB","Northland","agegrp1","total",2312,2312,100,28160,82.1
2009,"DHB","South Canterbury","agegrp1","total",661,661,100,9460,69.9
2009,"DHB","Southern","agegrp1","total",3757,3757,100,62820,59.8
2009,"DHB","Tairawhiti","agegrp1","total",764,764,100,9070,84.2
2009,"DHB","Taranaki","agegrp1","total",1631,1631,100,20880,78.1
2009,"DHB","Unknown","agegrp1","total",475,475,NA,NA,NA
2009,"DHB","Waikato","agegrp1","total",5558,5558,100,74090,75
2009,"DHB","Wairarapa","agegrp1","total",544,544,100,7010,77.6
2009,"DHB","Waitemata","agegrp1","total",7843,7843,100,114310,68.6
2009,"DHB","West Coast","agegrp1","total",429,429,100,6010,71.4
2009,"DHB","Whanganui","agegrp1","total",930,930,100,11470,81.1
2010,"DHB","Auckland","agegrp1","total",6778,6778,100,111110,61
2010,"DHB","Bay of Plenty","agegrp1","total",3024,3024,100,38690,78.2
2010,"DHB","Canterbury","agegrp1","total",6691,6691,100,104420,64.1
2010,"DHB","Capital & Coast","agegrp1","total",3988,3988,100,69070,57.7
2010,"DHB","Counties Manukau","agegrp1","total",8805,8805,100,105600,83.4
2010,"DHB","Hawke's Bay","agegrp1","total",2342,2342,100,29040,80.6
2010,"DHB","Hutt Valley","agegrp1","total",2158,2158,100,29740,72.6
2010,"DHB","Lakes","agegrp1","total",1615,1615,100,20110,80.3
2010,"DHB","MidCentral","agegrp1","total",2352,2352,100,33630,69.9
2010,"DHB","Nelson Marlborough","agegrp1","total",1706,1706,100,24550,69.5
2010,"DHB","Northland","agegrp1","total",2479,2479,100,28160,88
2010,"DHB","South Canterbury","agegrp1","total",670,670,100,9500,70.5
2010,"DHB","Southern","agegrp1","total",3689,3689,100,62800,58.7
2010,"DHB","Tairawhiti","agegrp1","total",765,765,100,9090,84.2
2010,"DHB","Taranaki","agegrp1","total",1592,1592,100,20990,75.8
2010,"DHB","Unknown","agegrp1","total",386,386,NA,NA,NA
2010,"DHB","Waikato","agegrp1","total",5638,5638,100,74540,75.6
2010,"DHB","Wairarapa","agegrp1","total",542,542,100,7040,77
2010,"DHB","Waitemata","agegrp1","total",7944,7944,100,115080,69
2010,"DHB","West Coast","agegrp1","total",409,409,100,5990,68.3
2010,"DHB","Whanganui","agegrp1","total",896,896,100,11280,79.4
2011,"DHB","Auckland","agegrp1","total",6574,6574,100,111470,59
2011,"DHB","Bay of Plenty","agegrp1","total",2866,2866,100,38470,74.5
2011,"DHB","Canterbury","agegrp1","total",6077,6077,100,101320,60
2011,"DHB","Capital & Coast","agegrp1","total",3881,3881,100,68980,56.3
2011,"DHB","Counties Manukau","agegrp1","total",8769,8769,100,106360,82.4
2011,"DHB","Hawke's Bay","agegrp1","total",2258,2258,100,28910,78.1
2011,"DHB","Hutt Valley","agegrp1","total",2061,2061,100,29660,69.5
2011,"DHB","Lakes","agegrp1","total",1592,1592,100,20000,79.6
2011,"DHB","MidCentral","agegrp1","total",2300,2300,100,33520,68.6
2011,"DHB","Nelson Marlborough","agegrp1","total",1650,1650,100,24470,67.4
2011,"DHB","Northland","agegrp1","total",2308,2308,100,28120,82.1
2011,"DHB","South Canterbury","agegrp1","total",573,573,100,9520,60.2
2011,"DHB","Southern","agegrp1","total",3679,3679,100,62830,58.6
2011,"DHB","Tairawhiti","agegrp1","total",740,740,100,9050,81.8
2011,"DHB","Taranaki","agegrp1","total",1567,1567,100,21040,74.5
2011,"DHB","Unknown","agegrp1","total",352,352,NA,NA,NA
2011,"DHB","Waikato","agegrp1","total",5388,5388,100,74790,72
2011,"DHB","Wairarapa","agegrp1","total",530,530,100,7050,75.2
2011,"DHB","Waitemata","agegrp1","total",7898,7898,100,115700,68.3
2011,"DHB","West Coast","agegrp1","total",410,410,100,5980,68.6
2011,"DHB","Whanganui","agegrp1","total",833,833,100,11110,75
2012,"DHB","Auckland","agegrp1","total",6721,6721,100,111670,60.2
2012,"DHB","Bay of Plenty","agegrp1","total",2980,2980,100,38130,78.2
2012,"DHB","Canterbury","agegrp1","total",6004,6004,100,99290,60.5
2012,"DHB","Capital & Coast","agegrp1","total",3881,3881,100,68640,56.5
2012,"DHB","Counties Manukau","agegrp1","total",8799,8799,100,106880,82.3
2012,"DHB","Hawke's Bay","agegrp1","total",2258,2258,100,28600,79
2012,"DHB","Hutt Valley","agegrp1","total",2016,2016,100,29260,68.9
2012,"DHB","Lakes","agegrp1","total",1559,1559,100,19780,78.8
2012,"DHB","MidCentral","agegrp1","total",2158,2158,100,33390,64.6
2012,"DHB","Nelson Marlborough","agegrp1","total",1531,1531,100,24160,63.4
2012,"DHB","Northland","agegrp1","total",2300,2300,100,27820,82.7
2012,"DHB","South Canterbury","agegrp1","total",648,648,100,9480,68.4
2012,"DHB","Southern","agegrp1","total",3598,3598,100,62430,57.6
